userId,movieId,tag,tag_tokens,tag_nsw,tag_lemm,tag_pos_tags
2,60756,funny,['funny'],['funni'],['funny'],"[('funny', 'NN')]"
2,60756,highly quotable,"['highly', 'quotable']","['highli', 'quotabl']","['highly', 'quotable']","[('highly', 'RB'), ('quotable', 'JJ')]"
2,60756,will ferrell,"['will', 'ferrell']",['ferrel'],"['will', 'ferrell']","[('will', 'MD'), ('ferrell', 'VB')]"
2,89774,boxing story,"['boxing', 'story']","['box', 'stori']","['boxing', 'story']","[('boxing', 'VBG'), ('story', 'NN')]"
2,89774,mma,['mma'],['mma'],['mma'],"[('mma', 'NN')]"
2,89774,tom hardy,"['tom', 'hardy']","['tom', 'hardi']","['tom', 'hardy']","[('tom', 'NN'), ('hardy', 'NN')]"
2,106782,drugs,['drugs'],['drug'],['drug'],"[('drugs', 'NNS')]"
2,106782,leonardo dicaprio,"['leonardo', 'dicaprio']","['leonardo', 'dicaprio']","['leonardo', 'dicaprio']","[('leonardo', 'NN'), ('dicaprio', 'NN')]"
2,106782,martin scorsese,"['martin', 'scorsese']","['martin', 'scorses']","['martin', 'scorsese']","[('martin', 'NN'), ('scorsese', 'JJ')]"
7,48516,way too long,"['way', 'too', 'long']","['way', 'long']","['way', 'too', 'long']","[('way', 'NN'), ('too', 'RB'), ('long', 'RB')]"
18,431,al pacino,"['al', 'pacino']","['al', 'pacino']","['al', 'pacino']","[('al', 'NN'), ('pacino', 'NN')]"
18,431,gangster,['gangster'],['gangster'],['gangster'],"[('gangster', 'NN')]"
18,431,mafia,['mafia'],['mafia'],['mafia'],"[('mafia', 'NN')]"
18,1221,al pacino,"['al', 'pacino']","['al', 'pacino']","['al', 'pacino']","[('al', 'NN'), ('pacino', 'NN')]"
18,1221,mafia,['mafia'],['mafia'],['mafia'],"[('mafia', 'NN')]"
18,5995,holocaust,['holocaust'],['holocaust'],['holocaust'],"[('holocaust', 'NN')]"
18,5995,true story,"['true', 'story']","['true', 'stori']","['true', 'story']","[('true', 'JJ'), ('story', 'NN')]"
18,44665,twist ending,"['twist', 'ending']","['twist', 'end']","['twist', 'ending']","[('twist', 'NN'), ('ending', 'VBG')]"
18,52604,anthony hopkins,"['anthony', 'hopkins']","['anthoni', 'hopkin']","['anthony', 'hopkins']","[('anthony', 'NN'), ('hopkins', 'NNS')]"
18,52604,courtroom drama,"['courtroom', 'drama']","['courtroom', 'drama']","['courtroom', 'drama']","[('courtroom', 'NN'), ('drama', 'NN')]"
18,52604,twist ending,"['twist', 'ending']","['twist', 'end']","['twist', 'ending']","[('twist', 'NN'), ('ending', 'VBG')]"
18,88094,britpop,['britpop'],['britpop'],['britpop'],"[('britpop', 'NN')]"
18,88094,indie record label,"['indie', 'record', 'label']","['indi', 'record', 'label']","['indie', 'record', 'label']","[('indie', 'NN'), ('record', 'NN'), ('label', 'NN')]"
18,88094,music,['music'],['music'],['music'],"[('music', 'NN')]"
18,144210,dumpster diving,"['dumpster', 'diving']","['dumpster', 'dive']","['dumpster', 'diving']","[('dumpster', 'NN'), ('diving', 'VBG')]"
18,144210,sustainability,['sustainability'],['sustain'],['sustainability'],"[('sustainability', 'NN')]"
